event_time,symbol,price,quantity,trade_time
2026-04-12 11:00:21.723000,BTCUSDT,71684.4,8e-05,2026-04-12 11:00:21.723000
2026-04-12 11:00:21.723000,BTCUSDT,71684.4,8e-05,2026-04-12 11:00:21.723000
2026-04-12 11:00:21.723000,BTCUSDT,71684.84,8e-05,2026-04-12 11:00:21.723000
2026-04-12 11:00:21.723000,BTCUSDT,71684.84,8e-05,2026-04-12 11:00:21.723000
2026-04-12 11:00:21.723000,BTCUSDT,71684.84,8e-05,2026-04-12 11:00:21.723000
2026-04-12 11:00:21.723000,BTCUSDT,71684.85,0.04913,2026-04-12 11:00:21.723000
2026-04-12 11:00:21.723000,BTCUSDT,71684.85,8e-05,2026-04-12 11:00:21.723000
2026-04-12 11:00:21.723000,BTCUSDT,71684.86,7e-05,2026-04-12 11:00:21.723000
2026-04-12 11:00:21.723000,BTCUSDT,71684.86,7e-05,2026-04-12 11:00:21.723000
2026-04-12 11:00:21.723000,BTCUSDT,71684.86,7e-05,2026-04-12 11:00:21.723000
2026-04-12 11:00:21.723000,BTCUSDT,71684.86,7e-05,2026-04-12 11:00:21.723000
2026-04-12 11:00:21.723000,BTCUSDT,71684.86,7e-05,2026-04-12 11:00:21.723000
2026-04-12 11:00:21.723000,BTCUSDT,71684.86,7e-05,2026-04-12 11:00:21.723000
2026-04-12 11:00:21.723000,BTCUSDT,71684.86,7e-05,2026-04-12 11:00:21.723000
2026-04-12 11:00:21.723000,BTCUSDT,71684.86,7e-05,2026-04-12 11:00:21.723000
2026-04-12 11:00:21.723000,BTCUSDT,71684.86,7e-05,2026-04-12 11:00:21.723000
2026-04-12 11:00:21.723000,BTCUSDT,71684.86,7e-05,2026-04-12 11:00:21.723000
2026-04-12 11:00:22.210000,BTCUSDT,71685.47,0.01337,2026-04-12 11:00:22.209000
2026-04-12 11:00:23.108000,BTCUSDT,71685.47,0.00119,2026-04-12 11:00:23.108000
2026-04-12 11:00:27.917000,BTCUSDT,71685.48,8e-05,2026-04-12 11:00:27.916000
2026-04-12 11:00:27.917000,BTCUSDT,71685.48,7e-05,2026-04-12 11:00:27.916000
2026-04-12 11:00:27.917000,BTCUSDT,71685.48,8e-05,2026-04-12 11:00:27.916000
2026-04-12 11:00:28.007000,BTCUSDT,71685.48,0.00141,2026-04-12 11:00:28.007000
2026-04-12 11:00:29.076000,BTCUSDT,71685.47,0.00013,2026-04-12 11:00:29.076000
2026-04-12 11:00:29.080000,BTCUSDT,71685.48,0.11694,2026-04-12 11:00:29.080000
2026-04-12 11:00:29.080000,BTCUSDT,71685.48,0.13671,2026-04-12 11:00:29.080000
2026-04-12 11:00:29.080000,BTCUSDT,71685.48,0.03721,2026-04-12 11:00:29.080000
2026-04-12 11:00:29.080000,BTCUSDT,71685.48,0.066,2026-04-12 11:00:29.080000
2026-04-12 11:00:29.080000,BTCUSDT,71685.48,0.00014,2026-04-12 11:00:29.080000
2026-04-12 11:00:29.080000,BTCUSDT,71685.48,0.00014,2026-04-12 11:00:29.080000
2026-04-12 11:00:29.080000,BTCUSDT,71685.48,0.027,2026-04-12 11:00:29.080000
2026-04-12 11:00:29.080000,BTCUSDT,71685.48,0.027,2026-04-12 11:00:29.080000
2026-04-12 11:00:29.080000,BTCUSDT,71685.48,0.027,2026-04-12 11:00:29.080000
2026-04-12 11:00:29.080000,BTCUSDT,71685.48,0.027,2026-04-12 11:00:29.080000
